year,month,num_license,lowest_price,avg_price,num_applicants,population,earnings,urban_CPI
2002,1,1400,13600,14735,3718,1327.730833,21962.5,98.7
2002,2,1800,13100,14057,4590,1328.32193,22145.51243,99.8
2002,3,2000,14300,14662,5190,1328.913289,22330.04989,98.9
2002,4,2300,16000,16334,4806,1329.504912,22516.1251,98.3
2002,5,2350,17800,18357,4665,1330.096798,22703.75086,98.6
2002,6,2800,19600,20178,4502,1330.688948,22892.9401,99.1
2002,7,3000,19800,20904,3774,1331.281361,23083.70584,99
2002,8,3000,21000,21601,4640,1331.874038,23276.06122,99.2
2002,9,3200,23600,24040,4393,1332.466979,23470.0195,99.2
2002,10,3200,26400,27040,4661,1333.060184,23665.59401,99.1
2002,11,3200,30800,31721,4021,1333.653653,23862.79824,99.2
2002,12,3600,27800,27848,3525,1334.23,23959,99.4
2003,1,3000,18800,24267,9442,1334.858333,24237.75,100.4
2003,2,3000,23800,25254,12030,1335.486963,24519.74311,100.2
2003,3,3000,28800,29551,11219,1336.115888,24805.01705,101
2003,4,3300,34100,34845,8794,1336.745109,25093.61,101
2003,5,3800,35000,36903,14634,1337.374627,25385.56057,100.5
2003,6,5500,36100,37667,15507,1338.004441,25680.90783,100
2003,7,6000,36900,38269,11929,1338.634552,25979.6913,100.2
2003,8,4500,38500,39369,9315,1339.26496,26281.95095,100.6
2003,9,6650,28800,38728,8532,1339.895664,26587.72723,100.9
2003,10,4500,32800,34842,9383,1340.526666,26897.06104,101.5
2003,11,5042,33100,34284,9849,1341.157964,27209.99379,102.4
2003,12,4776,37100,38054,10491,1341.77,27304,102.7
2004,1,5000,38000,39516,8663,1342.655,27535.75,102.5
2004,2,4800,39600,40053,10156,1343.540584,27769.46704,101.4
2004,3,4800,43000,43333,9950,1344.426752,28005.16782,102.4
2004,4,5500,44200,45492,8150,1345.313504,28242.86917,103.2
2004,5,6527,10800,34226,8114,1346.200841,28482.58807,103.9
2004,6,6233,17800,21001,19233,1347.088764,28724.34165,104.6
2004,7,6600,21800,23544,14464,1347.977272,28968.14718,104.9
2004,8,6800,25100,25991,15506,1348.866366,29214.02207,104.8
2004,9,6640,29300,30033,10634,1349.756046,29461.9839,104.5
2004,10,6600,28000,29768,9519,1350.646314,29712.05036,103.7
2004,11,6600,26000,27620,9188,1351.537168,29964.23933,102.4
2004,12,5500,29300,30282,9005,1352.39,30085,102
2005,1,5500,28500,32520,6208,1353.045833,30440,101.4
2005,2,3800,31700,32425,8949,1353.701985,30799.18896,103.6
2005,3,4000,34300,34684,9117,1354.358454,31162.61632,102.3
